"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-9.7014","SAR","2026-04-27","2026-04-27","2026-04-27","300000001421038","AMEX-BLKU-0004434-MISC","AMEX","Bank Charge","157-95017321-YASMEENPLZ"
"-1219.2438","SAR","2026-04-27","2026-04-27","2026-04-27","300000001421038","Mada-BLKU-0004434-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-54.2064","SAR","2026-05-01","2026-05-01","2026-05-01","300000001421038","Mada-BLKU-0004426-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-61.341","SAR","2026-06-01","2026-06-01","2026-06-01","300000001421038","Mada-BLKU-0004427-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-80.1159","SAR","2026-07-01","2026-07-01","2026-07-01","300000001421038","Mada-BLKU-0004428-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-75.555","SAR","2026-08-01","2026-08-01","2026-08-01","300000001421038","Mada-BLKU-0004429-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-79.833","SAR","2026-09-01","2026-09-01","2026-09-01","300000001421038","Mada-BLKU-0004430-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-81.489","SAR","2026-10-01","2026-10-01","2026-10-01","300000001421038","Mada-BLKU-0004431-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-119.094","SAR","2026-11-01","2026-11-01","2026-11-01","300000001421038","Mada-BLKU-0004432-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-71.001","SAR","2026-12-01","2026-12-01","2026-12-01","300000001421038","Mada-BLKU-0004433-MISC","Mada","Bank Charge","157-95017321-YASMEENPLZ"
"-37.1013","SAR","2026-04-27","2026-04-27","2026-04-27","300000001421038","Master-BLKU-0004434-MISC","Master","Bank Charge","157-95017321-YASMEENPLZ"
"-4.3481","SAR","2026-10-01","2026-10-01","2026-10-01","300000001421038","Master-BLKU-0004431-MISC","Master","Bank Charge","157-95017321-YASMEENPLZ"
"-6.5331","SAR","2026-11-01","2026-11-01","2026-11-01","300000001421038","Master-BLKU-0004432-MISC","Master","Bank Charge","157-95017321-YASMEENPLZ"
"-234.7564","SAR","2026-04-27","2026-04-27","2026-04-27","300000001421038","Visa-BLKU-0004434-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-11.6679","SAR","2026-05-01","2026-05-01","2026-05-01","300000001421038","Visa-BLKU-0004426-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-8.6963","SAR","2026-06-01","2026-06-01","2026-06-01","300000001421038","Visa-BLKU-0004427-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-9.7888","SAR","2026-07-01","2026-07-01","2026-07-01","300000001421038","Visa-BLKU-0004428-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-15.3824","SAR","2026-08-01","2026-08-01","2026-08-01","300000001421038","Visa-BLKU-0004429-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-12.52","SAR","2026-09-01","2026-09-01","2026-09-01","300000001421038","Visa-BLKU-0004430-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-10.9031","SAR","2026-10-01","2026-10-01","2026-10-01","300000001421038","Visa-BLKU-0004431-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-26.3074","SAR","2026-11-01","2026-11-01","2026-11-01","300000001421038","Visa-BLKU-0004432-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
"-22.2433","SAR","2026-12-01","2026-12-01","2026-12-01","300000001421038","Visa-BLKU-0004433-MISC","Visa","Bank Charge","157-95017321-YASMEENPLZ"
