"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-61.3329","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Master-BLKU-0001469-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-60.5026","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Master-BLKU-0001470-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-40.0729","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Master-BLKU-0001471-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.8551","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Master-BLKU-0001472-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-70.6847","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Master-BLKU-0001473-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-68.6527","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Master-BLKU-0001475-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-98.7183","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Master-BLKU-0001476-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-35.7247","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Master-BLKU-0001477-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-27.2688","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Master-BLKU-0001478-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-69.33","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Master-BLKU-0001479-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-36.4676","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Master-BLKU-0001481-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-44.7706","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Master-BLKU-0001482-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-46.5186","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Master-BLKU-0001485-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-76.8027","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Master-BLKU-0001486-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-92.6658","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Master-BLKU-0001487-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.8813","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Master-BLKU-0001489-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-16.8682","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Master-BLKU-0001490-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-20.1457","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Master-BLKU-0001491-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-61.3111","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Master-BLKU-0001492-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-41.7991","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Master-BLKU-0001493-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-30.8522","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Master-BLKU-0001494-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-36.9483","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Master-BLKU-0001495-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-10.8813","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Master-BLKU-0001496-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-68.4342","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Master-BLKU-0001498-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-65.4844","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Master-BLKU-0001500-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-22.6366","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Master-BLKU-0001501-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-8.6963","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Master-BLKU-0001502-MISC","Master","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
