"Amount","CurrencyCode","DepositDate","ReceiptDate","GlDate","OrgId","ReceiptNumber","ReceiptMethodName","ReceivableActivityName","BankAccountNumber"
"-172.8772","SAR","2026-03-05","2026-03-05","2026-03-05","300000001421038","Visa-BLKU-0001469-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-85.4553","SAR","2026-03-06","2026-03-06","2026-03-06","300000001421038","Visa-BLKU-0001470-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-73.0445","SAR","2026-03-07","2026-03-07","2026-03-07","300000001421038","Visa-BLKU-0001471-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-141.0199","SAR","2026-03-08","2026-03-08","2026-03-08","300000001421038","Visa-BLKU-0001472-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-91.7481","SAR","2026-03-09","2026-03-09","2026-03-09","300000001421038","Visa-BLKU-0001473-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-88.8421","SAR","2026-03-10","2026-03-10","2026-03-10","300000001421038","Visa-BLKU-0001475-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-132.4547","SAR","2026-03-11","2026-03-11","2026-03-11","300000001421038","Visa-BLKU-0001476-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-30.6555","SAR","2026-03-12","2026-03-12","2026-03-12","300000001421038","Visa-BLKU-0001477-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-108.5945","SAR","2026-03-13","2026-03-13","2026-03-13","300000001421038","Visa-BLKU-0001478-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-155.0476","SAR","2026-03-14","2026-03-14","2026-03-14","300000001421038","Visa-BLKU-0001479-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-106.628","SAR","2026-03-15","2026-03-15","2026-03-15","300000001421038","Visa-BLKU-0001481-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-126.0089","SAR","2026-03-16","2026-03-16","2026-03-16","300000001421038","Visa-BLKU-0001482-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-123.5399","SAR","2026-03-17","2026-03-17","2026-03-17","300000001421038","Visa-BLKU-0001485-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-162.2362","SAR","2026-03-18","2026-03-18","2026-03-18","300000001421038","Visa-BLKU-0001486-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-191.5371","SAR","2026-03-19","2026-03-19","2026-03-19","300000001421038","Visa-BLKU-0001487-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-49.9928","SAR","2026-03-20","2026-03-20","2026-03-20","300000001421038","Visa-BLKU-0001489-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.4552","SAR","2026-03-21","2026-03-21","2026-03-21","300000001421038","Visa-BLKU-0001490-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-57.1814","SAR","2026-03-22","2026-03-22","2026-03-22","300000001421038","Visa-BLKU-0001491-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-60.0438","SAR","2026-03-23","2026-03-23","2026-03-23","300000001421038","Visa-BLKU-0001492-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-25.9578","SAR","2026-03-24","2026-03-24","2026-03-24","300000001421038","Visa-BLKU-0001493-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-74.5522","SAR","2026-03-25","2026-03-25","2026-03-25","300000001421038","Visa-BLKU-0001494-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-35.244","SAR","2026-03-26","2026-03-26","2026-03-26","300000001421038","Visa-BLKU-0001495-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-66.7299","SAR","2026-03-27","2026-03-27","2026-03-27","300000001421038","Visa-BLKU-0001496-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-106.1691","SAR","2026-03-28","2026-03-28","2026-03-28","300000001421038","Visa-BLKU-0001498-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-99.5486","SAR","2026-03-29","2026-03-29","2026-03-29","300000001421038","Visa-BLKU-0001500-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-34.5885","SAR","2026-03-30","2026-03-30","2026-03-30","300000001421038","Visa-BLKU-0001501-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
"-117.7496","SAR","2026-03-31","2026-03-31","2026-03-31","300000001421038","Visa-BLKU-0001502-MISC","Visa","Bank Charge","AL Jazeerah Bank MJMAKRMMAL"
